New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
1075,N/A,Leader Antrodia Cinnamomea Capsule (LAC-Capsule) (mycelia powder of Antrodia cinnamomea),Taiwan Leader Biotech Corporation,4/16/2018,6/26/2018
1076,N/A,Agave salmiana sap concentrate,AGMEL S.A. DE C.V.,4/17/2018,6/26/2018
1077,N/A,Folinic Plus,James Grote,5/31/2018,7/18/2018
1078,N/A,Ceratiq phytoceramides,Unexampled LLC dba Well Within,5/31/2018,7/18/2018
1079,N/A,Bifidobacterium bifidum BGN4,NutraSource,6/1/2018,8/2/2018
1080,N/A,"7-hydroxymatairesinol, a lignan component from Picea albies L. that will be marketed under the trade name of “Fountain of Life”",Opulence Global,6/7/2018,8/2/2018
1081,N/A,D-chiro-inositol (DCI) derived from Ceratonia siliqua pods (Carob plant),Biosearch Life,7/9/2018,9/11/2018
1082,N/A,Bifidobacterium longum strain BORI (B. longum BORI),BIFIDO Co,7/24/2018,9/27/2018
1083,N/A,Enzolytics Pepsin From Porcine Supplement Spray (IPF) or Irreversible Pepsin Fraction,Enzolytics Inc,8/6/2018,10/12/2018
1084,N/A,Ethyl-(alpha-guanido methyl) ethanoate aka alpha GEE,Vireo Systems Inc,8/8/2018,10/18/2018
1085,N/A,Menaquinone-7 [MK-7] dipropropionate ,Kappa Bioscience,8/13/2018,10/23/2018
1086,N/A,Lactobacillus Plantarum CJLP55,CJ CheilJedang ,8/15/2018,10/23/2018
1087,N/A,N-6-trimethyl-L-Lysine (TML),NeuroMetabolic Energy Solutions LLC,8/23/2018,10/30/2018
1088,N/A,Hamelia patens tea under trade name of CelSana Oral Tea,Ontogeny Inc,8/25/2018,10/30/2018
1089,N/A,Lactobacillus paracasei strain KLB-1.,Navigant Consulting ,8/29/2018,11/6/2018
1090,N/A,Omega 7 fish oil,Tersus Life Sciences Ltd,9/4/2018,11/15/2018
1091,N/A,Korean Red Ginseng Extract,Korean Ginseng Corporation,9/7/2018,11/13/2018
1092,N/A,Bupleurum falcatum L. under trade name of ARI-BJ,US Botanical Safety Laboratory,10/10/2018,12/4/2018
1093,N/A,"Rehmannia glutinosa , Alisma orientale, Cornus officinalis, Paeonia suffruticosa, Poria cocos, and Dioscorea batatas under the trade name of ARI-YM","AriBio Co., LTD",10/18/2018,12/19/2018
1094,N/A,"5-Aminolevulinic Acid Phosphate with 
Sodium Ferrous Citrate (SFC)",Neopharma Inc.,10/18/2018,12/19/2018
1095,N/A,Chicken Collagen derived from Freeze-Dried Chicken Bone Powder,Performance by Science LLC,10/25/2018,12/19/2018
1096,N/A,Sophora japonica Linne (Leguminosae) fruit extract under trade name of Rexflavone,Novarex,10/29/2018,1/9/2019
1097,N/A,"7-hydroxymatairesinol, a lignan component from Picea albies L. that will be marketed under the trade name of “Fountain of Life”",Opulence Global (a subsidiary of Global Wealth Trade Corporation),11/2/2018,1/12/2019
1098,N/A,Tamarindus indica seed powder extract under trade name of TBP,RPS Biologiques Inc,11/7/2018,1/31/2019
1099,N/A,Renovase (bioavailable glutathione) under trade name of 126 PLUS,Solosale S.r.l.,11/8/2018,2/1/2019
1100,N/A,"5-HTP or 5-hydroxytryptophan, or 5-hydroxy-L-tryptophan under trade name of Oxitriptan",BiotecEra Inc.,11/12/2018,2/1/2019
1101,N/A,CelSana Dried Biomass Tea derived from leaves of Hamelia patens,Ontogeny Inc,11/15/2018,1/29/2019
1102,N/A,"Tetrapleura tetraptera (dried, grated, & sterilized fruit)",Miracle Herbs Company,11/20/2018,2/1/2019
1103,N/A,Beta-alanine under trade name of Carnosyn or CarnoSyn® Beta-alanine (CAS 107-95-9),"Natural Alternatives International, Inc.",11/20/2018,2/1/2019
1104,N/A,"A tablet of magnesium, malic, and tartaric acids",Natural Wellness Now Health Products Inc.,12/3/2018,2/12/2019
1105,N/A,"Omega-7 fish oil under the trade name, Provinal® ",Tersus Life Sciences LTD,2/1/2019,3/22/2019
1106,N/A,DIL-10,Bionat Industrial,4/7/2019,6/6/2019
1107,N/A,Triacylglycerol Lipase from Candida cylindracea,Amano Enzyme Inc.,4/11/2019,6/20/2019
1108,N/A,Lactobacillus Plantarum CJLP55,CJ CheilJedang,4/15/2019,6/20/2019
1109,N/A,Korean Dandelion Extract Powder,Famenity Co. Ltd,4/16/2019,6/25/2019
1110,N/A,Hamelia patens (Hp),"CelSana Beauty & Health, LLC",4/30/2019,7/10/2019
1111,N/A,Propolis,Faida Gida Ilac Sanayi ve Ticaret Anonim Sirketi,5/16/2019,7/17/2019
1112,N/A,"Menaquinone-7-dipropionate under the trade name, Proquinone® or PQ7®",Kappa Bioscience AS,5/29/2019,8/1/2019
1113,N/A,"Dietary nanofiber under the trade name, Dr. Hummel Nanofiber Gel",NATURA-PRO KFT,6/5/2019,8/6/2019
1114,N/A,"Ethyl-(alpha-guanido methyl) ethanoate under the trade name, Alpha-GEE®","Vireo Systems, Inc.",6/18/2019,8/20/2019
1115,N/A,Safr’Inside™,Activ'Inside,6/18/2019,8/26/2019
1116,N/A,Cannaworx Compound Liquid Supplement,"Cannaworks, Inc.",6/19/2019,8/29/2019
1117,N/A,Cannabidiol (CBD),"KBHEMP, LLC",6/21/2019,8/29/2019
1118,N/A,Bifidobacterium animalis subsp. lactis strain AD011,"BIFIDO Co., Ltd",7/5/2019,9/16/2019
1119,N/A,Cirsium japonicum var. maackii (Maxim.) Matsum),Famenity Co. Ltd.,7/8/2019,9/19/2019
1120,N/A,PhaeoSOL,Microphyt,7/9/2019,9/19/2019
1121,N/A,Mixed Plant Cell Wall Fibers,AVVA Pharmaceuticals,7/17/2019,9/29/2019
1122,N/A,Cotinine HCl,Capsulean LLC,7/22/2019,9/29/2019
1123,N/A,"Bitter Orange (Citrus aurantium L.) Extract under the trade name, Advantra Z®",Innophos LLC,8/5/2019,12/9/2019
1124,N/A,Gelidium elegans extract powder,Newtree Company Ltd. ,8/6/2019,10/16/2019
1125,N/A,"7-hydroxymatairesinol under the trade name, Fountain of Life",Opulence Global,8/13/2019,10/22/2019
1126,N/A,"Mitragyna speciosa strain XML007 under the trade name, Kratura™",BD Botanicals Ltd.,8/15/2019,10/25/2019
1127,N/A,Korean Red Ginseng Extract,Korea Ginseng Corporation,8/15/2019,10/25/2019
1128,N/A,Cannaworx Compound Liquid Supplement  ,"Cannaworx, Inc.",8/31/2019,11/12/2019
1129,N/A,"TI-11 under the trade name, FIBRO.P",Gibeah Inc,9/9/2019,11/18/2019
1130,N/A,Sea Squirt Plasmalogen Oil ,VITAE CORP Japan Inc.,9/11/2019,11/18/2019
1131,N/A,Labisia pumila Aqueous Ethanolic Standardized Extract or SKF7,Orchid Life Sdn. Bhd.,10/15/2019,12/19/2019
1132,N/A,Mixed Plant Cell Wall Fibers,AVVA Pharmaceuticals,10/25/2019,1/6/2020
1133,N/A,Ganoderma Microsporum Immunomodulatory Protein (GMI),"Tomilab LLC
DBA Emerald Botanicals",10/31/2019,1/13/2020
1134,N/A,AB-Free Kava,Kuality Herbceutics,11/22/2019,2/5/2020
1135,N/A, ZBGTECH Holding Compound Liquid Supplement,"ZBGTECH Holding, LLC",11/25/2019,2/6/2020
1136,N/A,"Ethyl-(alpha-guanido methyl) ethanoate under the trade name, Alpha-GEE",Vireo Systems Inc.,12/13/2019,2/25/2020
1137,N/A,Peptylin,Braini LLC,12/24/2019,2/27/2020
1138,N/A,Bacillus clausii and Bacillus subtilis,Ana Bio Research & Development JSC,1/13/2020,3/23/2020
1139,N/A,"Magnesium Acetyl Taurinate under the trade name, ATA-Mg®",AIDP Inc. ,1/24/2020,3/31/2020
1140,N/A,ZBGTECH Compound Liquid Supplement,"ZBGTECH Holding, LLC",2/12/2020,4/23/2020
1141,N/A,Gynostemma pentaphyllum Extract,US Natural Remedy Company,2/13/2020,4/27/2020
1142,N/A,Di-magnesium Citrate Glycinate Co-Salt,Jost Chemical Company,2/28/2020,5/11/2020
1143,N/A,Labisia pumila Aqueous Ethanolic Standardized Extract or SKF7,Medika Natura Sdn Bhd.,3/4/2020,5/13/2020
1144,N/A,LYMBERUP®,Gutis Ltd ,3/9/2020,5/21/2020
1145,N/A,Cantech Pharma ImmuneBooster,"Cantech Pharma, Inc.",3/19/2020,5/29/2020
1146,N/A,Microchloropsis gaditana,Buggy Power Group,4/16/2020,6/30/2020
1147,N/A,"Greenyn Antrodia cinnamomea Mycelia under the trade name, Antromax","Greenyn Biotechnology, Inc.",4/16/2020,6/12/2020
1148,N/A,Herbal dietary supplement from extracts of Croton membranaceus and Annona muricata (Prostat 60),Hermon Naturals ,4/21/2020,7/1/2020
1149,N/A,Tetraselmis chuii,Buggy Power Group,4/28/2020,7/8/2020
1150,N/A,Panax Ginseng Berry Concentrate,AMOREPACIFIC,5/7/2020,7/16/2020
1151,N/A,"Protetite®,  a composite product consisting of hydroxyapatite and collagen ",CBC Americas Corp.,5/7/2020,7/16/2020
1152,N/A,Cnidium officinale Makino,"AriBio Co., Ltd.",5/7/2020,7/16/2020
1153,N/A,Korean Red Ginseng Extract (KGRE),Korean Ginseng Corporation,5/18/2020,7/29/2020
1154,N/A,Anacardic acid extract from Pistachio kernels (Pistacia vera L.),"Zymex Industries, Inc.",5/20/2020,7/29/2020
1155,N/A,"Lactobacillus rhamnosus, strain DSM33426 in conjunction with Lactobacillus reuteri, strain DSM33016",Chr. Hansen Inc.,5/26/2020,8/7/2020
1156,N/A,Levilactobacillus brevis strain ,"Danisco USA, Inc. dba DuPont Nutrition & Biosciences",6/1/2020,8/13/2020
1157,N/A,Oleandrin,Phoenix Biotechnology Inc.,6/2/2020,8/14/2020
1159,N/A,Bacillus subtilis ,"Danisco USA, Inc.",7/1/2020,9/10/2020
1160,N/A,Sil-Q1 (Silk peptide),Worldway Co. Ltd,7/1/2020,9/10/2020
1161,N/A,Bishkhapra,EBBA Healthcare & Cosmetics LLC,7/7/2020,9/16/2020
1162,N/A,Heat-treated Lactobacillus rhamnosus IDCC 3201 (RHT3201) ,Ildong Pharmaceuticals,7/9/2020,9/16/2020
1163,N/A,Hydroxytyrosol,Nova Mentis,7/10/2020,9/16/2020
1164,N/A,Lactiplantibacillus plantarum strain (formerly classified as “Lactobacillus plantarum”),"Danisco USA, Inc. dba DuPont Nutrition & Bioscience",7/13/2020,9/24/2020
1165,N/A,Lactiplantibacillus plantarum strain (formerly classified as “Lactobacillus plantarum”),"Danisco USA, Inc. dba DuPont Nutrition & Bioscience",7/13/2020,9/24/2020
1166,N/A,Advantra Z Bitter Orange (Citrus aurantium L) Extract,"Innophos Holdings, Inc.",7/16/2020,9/29/2020
1167,N/A,"Bacillus clausii and Bacillus subtilis, under tradename LiveSpo® COLON",Ana Bio Research & Development JSC,10/6/2021,12/15/2020
1168,N/A,Enzolytics Pepsin from Porcine Liquid Supplement and Ascorbic Acid (Vitamin C) undeer tradename Cantech Pharma ImmuneBooster,"Cantech Pharma, Inc.",7/29/2020,10/7/2020
1169,N/A,Adhatoda Vasaka under tradename Ebbasma®,EBBA Healthcare & Cosmetics LLC,7/29/2020,10/8/2020
1170,N/A,Greenyn Antrodia cinnamomea Mycelia (GACM) as bulk ingredient used in dietary supplement products,"Greenyn Biotechnology, Inc.",10/7/2020,12/10/2020
1171,N/A,Cirsium japonicum var. maackii (Maxim.) Matsum. called TOSCARE,Famenity Co. Ltd.,8/14/2020,10/19/2020
1172,N/A,"Epimedium brevicornum Maxim.,Salvia miltiorrhiza Bge., and Dioscorea nipponica Makino under trade name JointAlive®","Chenland Nutritionals, Inc.",8/14/2020,10/23/2020
1173,N/A,Astaxanthin Crystalline under trade name Astasana™ 5% CWS/S-TG,DSM Nutritional Products LLC,8/25/2020,10/30/2020
1174,N/A,β-Nicotinamide Mononucleotide (NMN) marketed in a dietary supplement product called Reju-Me,"Willy Chemicals, Inc",8/25/2020,11/2/2020
1175,N/A,LemnaRed® Astaxanthin Crystal marketed in a dietary supplement product called LemnaRed® Astaxanthin Softgels,"Lemnaceae Fermentation, Inc.",8/31/2020,11/6/2020
1176,N/A,Zinc Ascorbate Glycinate Co-Salt,Jost Chemical Co.,9/1/2020,11/6/2020
1177,N/A,Anacardic acid extract from Pistachio hulls (Pistacia vera L.),"Zymex Industries, Inc.",9/4/2020,11/12/2020
1178,N/A,Methylphosphonic Acid (MePA) marketed in a dietary supplement product under trade name Dr. Aardsma's Anti-Aging Vitamins,Aardsma Research & Publishing,9/4/2020,11/9/2020
1179,N/A,Methylphosphinic Acid (MePiA) marketed in a dietary supplement product under trade name Dr. Aardsma's Anti-Aging Vitamins,Aardsma Research & Publishing,9/4/2020,11/9/2020
1180,N/A,Withania somnifera marketed in a dietary supplement called EBBAKING  ,EBBA Healthcare & Cosmetics LLC,9/10/2020,11/17/2020
1181,N/A,Gastrodia combination extract powder (HX106),"Helixmith Co., Ltd.",10/8/2020,12/17/2020
1182,N/A,Lactobacillus reuteri 12246-CU ,Biocare Copenhagen A/S,10/22/2020,1/4/2021
1183,N/A,Lactobacillus rhamnosus 19070-2,Biocare Copenhagen A/S,10/22/2020,1/4/2021
1184,N/A,Basic Copper Gluconate,Jost Chemical Co.,11/17/2020,1/29/2021
1185,N/A,Sharpleaf galangal (Alpiniae oxyphyllae Fructus) marketed under trade name Nephrokin,The Hong Kong Institute of Biotechnology Limited,11/25/2020,1/27/2021
1186,N/A,"Aloe macroclada, also known as Alomac™, marketed under the trade name STEMRELEASE3",Mioty Voajanahary,11/27/2020,2/4/2021
1187,N/A,"Ribes fasciculatum var. chinense, combined with a seedless fruit extract of Cornus officinalis marketed as a bulk dietary ingredient under the trade names, CORF™, CORF1, and AdiZeros","Nine B Co., Ltd.",12/1/2020,2/10/2021
1188,N/A,"LYMBERUP®, which is a mixture of 100% Hydrolyzed Collagen, N-Acetyl Glucosamine, and Vitamin C, marketed as a dietary supplement under the trade name, LYMBERUP®",Gutis LTD.,12/2/2020,2/10/2021
1189,N/A,"β-Nicotinamide Mononucleotide (NMN)”, marketed in a dietary supplement product you call Reju-Me","Willy Chemicals, Inc",12/3/2020,2/11/2021
1190,N/A,Cofactor Raphanin (CoR),CoR4Mito Inc./Mito Liuxia Pharma Inc.,12/10/2020,2/19/2021
1191,N/A,"L-Alanyl-L-Glutamine (98%), marketed as a bulk dietary ingredient under the trade name Argo®","Minsheng Group Shaoxing Pharmaceutical Co., Ltd.",12/15/2020,2/24/2021
1192,N/A,"Celastrol, an extract containing ≥50% Celastrol isolated from the roots of the plant, Tripterygium wilfordii Hook. f., marketed as a bulk dietary ingredient under the trade name MBX200",Advanced Muscle Technologies,12/18/2020,2/26/2021
1193,N/A,"A powdered extract of Panax ginseng C. A. Meyer roots, marketed as a bulk dietary ingredient called Ginsamin™",Famenity Co. Ltd.,12/31/2020,3/9/2021
1194,N/A,Dulcitol,"Zhongwei International Life Science and Technology Co., Ltd.",1/20/2021,3/29/2021
1195,N/A,Gastrodia combination extract powder (HX106),"Helixmith Co., Ltd.",1/26/2021,4/6/2021
1196,N/A,Lactobacillus plantarum KY1032,"Korea Yakult Co., Ltd.",4/6/2021,5/28/2021
1197,N/A,MagH2 Mineral Powder,Nano H2 Minus Inc,2/1/2021,4/12/2021
1198,N/A,HOWARU,Danisco USA Inc. ,4/12/2021,5/28/2021
1199,N/A,Full-Spectrum Hemp Extract,Irwin Naturals,5/3/20201,7/23/2021
1200,N/A,Lactobacillus plantarum APsulloc 331261,AmorePacific Corporation,3/23/2021,5/28/2021
1201,N/A,Pep2Dia,Ingredia SA,3/23/2021,5/28/2021
1202,N/A,Full Spectrum Hemp Extract,Charlotte's Web Inc.,5/12/2021,7/23/2021
1203,N/A,"Whole Broth Extract of Cordyceps Cicadae mycelium,  intend to market in a dietary supplement under the trade name ""BIO-CORDYCEPS GK-4""",GRAPE KING BIO LTD.,4/27/2021,6/30/2021
1204,N/A,Avocado oil extract,Dongkook Pharmaceuticals,4/27/2021,6/30/2021
1205,N/A,"“Banana stamen extract” that you intend to market as a bulk dietary ingredient under the trade name, “Happy Angel® Stamen Extract powder.”","	
TCI Co., Ltd.
",5/4/2021,7/12/2021
1206,N/A,Banana peel extract,"	
TCI Co., Ltd.
",5/4/2021,7/12/2021
1207,N/A,Nutriterra® Total Omega-3,Nuseed Nutritional US Inc,5/13/2021,7/21/2021
1208,N/A,"“MoodElite”, which is a combination of an extract powder of the botanical ingredients Hypericum perforatum L. (whole aerial part), Eleutherococcus senticosus Maxim (Root), and Paeonia suffruticosa Andr. (Root park)","Chenland Nutritionals, Inc.",6/1/2021,7/30/2021
1209,N/A,Bifidobacterium breve,"IFF Health & Biosciences Danisco USA, Inc.",6/16/2021,8/20/2021
1210,N/A,powdered water extract from the aerial parts of Agastache rugosa (Fisch. & C.A. Mey.) Kuntze that you call “Agatri®”,"Cosmax NBT, Inc.",6/21/2021,8/26/2021
1211,N/A,"Bifidobacterium animalis subsp. lactis HEM 20-01 or B. lactis HEM 20-01, marketed as a bulk dietary ingredient under the trade name HEM 20-01™",HEM Pharma Inc.,7/9/2021,9/2/2021
1212,N/A,"Fermented bilberry fruit extract, marketed as a bulk dietary ingredient under the trade name SEPITONE™",SEPPIC S.A.,7/13/2021,8/6/2021
1213,N/A,#ERROR!,#ERROR!,#ERROR!,#ERROR!
1214,N/A,#ERROR!,#ERROR!,#ERROR!,#ERROR!
1215,N/A,#ERROR!,#ERROR!,#ERROR!,#ERROR!
1216,N/A,#ERROR!,#ERROR!,#ERROR!,#ERROR!
1217,N/A,#ERROR!,"TCI Co., Ltd.",#ERROR!,#ERROR!
1218,N/A,Serratiopeptidase,Meteoric Biopharmaceuticals Pvt Ltd,8/23/2021,#ERROR!
1219,N/A,"Fermented bilberry fruit extract, marketed as a dietary ingredient under the trade name SEPITONE",SEPPIC S.A.,8/23/2021,#ERROR!
1220,N/A,native extract of the dried ground leaf  of Mitragyna speciosa (Korth.) Havil (Rubiaceae),American Botanicals Corporation ,8/30/2021,#ERROR!
1221,N/A,Lactobacillus curvatus HY7601,"hy Co., Ltd.",8/30/2021,#ERROR!
1222,N/A,Ginsenose,#ERROR!,9/3/2021,11/10/2021
1223,N/A,TL1 (Trypsine Serine Protease 1),#ERROR!,9/7/2021,12/29/2021
1224,N/A,GCWB106 (Chrysanthemum zawadskii var. latilobum Extract),#ERROR!,9/8/2021,11/10/2021
1225,N/A,CalGo,#ERROR!,9/10/2021,11/17/2021
1226,N/A,OmeGo,#ERROR!,9/10/2021,11/17/2021
1227,N/A,affron®,Pharmactive Biotech Products,9/22/2021,11/30/2021
1228,N/A,life'sOmega Ultra (DHA and EPA Algal Oil from schizochytrium),DSM Nutritional Products,10/1/2021,12/7/2021
1229,N/A,Hydrangea serrata leaf extract,COSMAX BIO LTD,10/5/2021,12/8/2021
1230,N/A,Lactobacillus plantarum HY7714 or L. plantarum HY7714,"hy Co., Ltd",10/12/2021,12/14/2021
1231,N/A,Bolgre™ Solution,Chong Kun Dang Pharm Corp.,10/21/2021,12/30/2021
1232,N/A,Basic Copper Gluconate,Jost Chemical Co.,10/21/2021,12/22/2021
1233,N/A,Cyclocarya paliurus Extract,Infinitus (China) Company Ltd.,10/27/2021,12/23/2021
1234,N/A,β-Nicotinamide Mononucleotide (NMN),"Willy Nutra, Inc.",11/15/2021,1/18/2022
1235,N/A,L-β-Aminoisobutyric Acid (L-BAIBA),NNB Nutrition,11/23/2021,1/27/2022
1236,N/A,Serratiopeptidase,Meteoric Biopharmaceuticals Pvt Ltd,11/24/2021,2/2/2022
1237,N/A,neoagarooligosaccharides (NAO),Dyne Bio Inc.,11/24/2021,2/1/2022
1238,N/A,Dry Aloe macroclada gel (Alomac),JWJames Consulting,12/8/2021,2/10/2022
1239,N/A,Safr'Inside™,ACTIV'INSIDE,12/20/2021,2/15/2022
1240,N/A,"nicotinamide mononucleotide (NMN), beta-nicotinamide mononucleotide, or β-NMN","SyncoZymes (Shanghai) Co., Ltd.",12/27/2021,2/24/2022
1241,N/A,Deglusterol powder,"Caregen Co., Ltd",1/7/2022,3/21/2022
1242,N/A,Chios Mastic Gum (CMG),CHIOS GUM MASTIC GROWERS ASSOCIATION,2/15/2022,4/7/2022
1243,N/A,Nicotinamide Riboside Hydrogen Malate,"Thorne Health Tech, Inc.",3/22/2022,5/24/2022
1244,N/A,Polygonatum kingianum Extract,"TCI Co., Ltd.",2/24/2022,4/29/2022
1245,N/A,W Beauty® Wasabi Leaf Extract,"TCI Co., Ltd.",4/29/2022,6/16/2022
1246,N/A,Bi-Su Swiftlet's Nest Extract,M Style America,3/2/2022,5/6/2022
1247,N/A,beta-nicotinamide mononucleotide (β-NMN),"SyncoZymes (Shanghai) Co., Ltd.",3/21/2022,5/16/2022
1248,N/A,Alpiniae Oxyphyllae Fructus,The Hong Kong Institute of Biotechnology Limited,3/28/2022,6/2/2022
1249,N/A,YES-10,Famenity Co. Ltd,3/30/2022,6/6/2022
1250,N/A,SKF7® Aqueous Ethanolic Standardized Extract of Labisia pumila var. alata,Medika Natura Sdn Bhd,4/1/2022,6/2/2022
1251,N/A,Micro-encapsulated and Micronized Iron Saccharate,Pharmafen LLC,4/4/2022,6/8/2022
1252,N/A,Somacy-FP100 ,Macrophi Inc.,4/20/2022,6/28/2022
1253,N/A,"RenoCidin™ (Fermented Citrus Bioflavonoids Containing Water-Soluble Hesperetin Derivatives, Marketed as a Bulk Dietary Ingredient)","Hughes Biotechnology Co., Ltd.",5/4/2022,7/7/2022
1254,N/A,ProGo®,Hofseth BioCare ASA,5/25/2022,7/27/2022
1255,N/A,TEES-10® Ligularia stenocephala extract powder,Famenity Co. Ltd.,7/13/2022,9/19/2022
1256,N/A,Greenyn Insumate® powder,"Greenyn Biotechnology Co., Ltd.",7/21/2022,9/21/2022
1257,N/A,Crocin Rich®,Quality Phytochemicals LLC,7/21/2022,9/23/2022
1258,N/A,Lactobacillus paracasei subsp. paracasei HY2782; Lacticaseibacillus paracasei subsp. paracasei HY2782; or Lactobacillus casei HY2782,"hy Co., Ltd.",7/22/2022,9/27/2022
1259,N/A,β-Nicotinamide Mononucleotide (NMN),Inner Mongolia Kingdomway Pharmaceutical Limited,7/28/2022,10/11/2022
1260,N/A,Buckwheat Husk Extract,"TCI Co., Ltd",9/2/2022,11/9/2022
1261,,Weissella confusa WIKIM51 (Wilac D001),"Pharmsville Co., Ltd.",11/18/2022,12/19/2022
1262,N/A,EuBone®,"Chenland Nutritionals, Inc",9/30/2022,12/1/2022
1263,N/A,Alomac - powdered Aloe macroclada gel,JWJames Consulting,10/19/2022,12/30/2022
1264,N/A,"NPI-001, a dried kratom leaf powder",Johnson Foods LLC,10/21/2022,1/4/2023
1265,N/A,beta-nicotinamide mononucleotide (β-NMN or NMN); SIRTality™,Cellmark USA,12/14/2022,1/18/2023
1266,,"Alpha-glyceryl phosphoryl choline (A-GPC), AlphaSize® Alpha Glyceryl Phosphoryl Choline","Chemi Nutra, LLC",11/1/2022,11/9/2022
1267,N/A,"nicotinamide mononucleotide (NMN), beta-nicotinamide mononucleotide, or β-NMN; Uthever","Effepharm, Ltd.",11/7/2022,1/18/2023
1268,N/A,S-Adenosyl-L-Methionine Disulfate Tosylate with Propyl Gallate    (SAMe-DT + PG),"JDS Therapeutics, Bonafide Health",11/16/2022,1/23/2023
1269,N/A,"Alpha-glyceryl phosphoryl choline (A-GPC), AlphaSize® Alpha Glyceryl Phosphoryl Choline","Chemi Nutra, LLC",11/17/2022,1/26/2023
1270,N/A,Undaria pinnatifida Extract Powder,Naturalendo Tech Co. Ltd.,12/16/2022,2/17/2023
1271,N/A,HemoHIM® Herbal Extract,Kolmar BNH Co. Ltd.,12/20/2022,2/24/2023
1272,N/A,Botalys Red Ginseng,Botalys,12/22/2022,2/27/2023
1273,N/A,"Poly-γ-glutamic acid, potassium salt (PGA-K)",BL Corporation,12/23/2022,3/2/2023
1274,N/A,Sugar Katcher S52™,Kolmar BNH Co. Ltd.,1/12/2023,3/20/2023
1275,N/A,Asta-S Crystal,"Trade Wind Biotech Co., Ltd.",1/19/2023,2/1/2023
1276,N/A,Gynostemma pentaphyllum Extract,"TG Biotech Co., Ltd.",1/31/2023,2/10/2023
1277,N/A,Lactiplantibacillus plantarum strain DSM 33464,Novozymes North America,2/6/2023,2/10/2023
1278,N/A,DoH2 Mineral Powder,"H2 Universe, LLC",2/8/2023,4/14/2023
1279,N/A,DHA ethyl ester algal oil,"Algarithm Ingredients, Inc.",2/10/2023,4/21/2023
1280,N/A,Yeast Protein,Yeap proteins,2/27/2023,4/4/2023
1281,N/A,Lactiplantibacillus plantarum strain DSM 33464,Novozymes North America,2/21/2023,5/4/2023
1282,N/A,Sodium butyrate,SynergoLab Kft.,2/23/2023,4/1/2023
1283,N/A,Fermented Soy Extract Containing Water-Soluble Isoflavone Derivatives (RenoFlavone™),"Hughes Biotechnology Co., Ltd.",2/24/2023,5/5/2023
1284,N/A,Gynostemma pentaphyllum Extract,"TG Biotech Co., Ltd.",3/9/2023,5/12/2023
1285,N/A,Puriton Water,Kadesh Incorporation,3/15/2023,5/9/2023
1286,N/A,Antrodia GK,Grape King Bio Ltd.,3/24/2023,6/1/2023
1287,N/A,Golden Caps,Nourished Vines LLC,3/31/2023,4/19/2023
1288,N/A,Ecklonia cava Extract Powder,Naturalendo Tech Co. Ltd.,4/4/2023,6/14/2023
1289,N/A,Uphenon®,Suheung,4/20/2023,6/28/2023
1290,N/A,Nicotinamide mononucleotide,Malaga Imports LLC,4/21/2023,7/5/2023
1291,N/A,Rhamnox 100,"Konan Chemical Manufacturing Co., Ltd.",4/21/2023,6/27/2023
1292,N/A,"Lysoveta-LP19, Lysophosphatidylcholine (LPC)-Rich Oil Extract of Antarctic Krill (Euphausia superba)",Aker BioMarine Antarctic AS,5/15/2023,7/24/2023
1293,N/A,OLEANOX (Olive fruit dry extract standardized in hydroxytyrosol (10 or 20%)),NATAC Biotech S.L.,5/22/2023,7/24/2023
1294,N/A,Microencapsulated iron saccharate,Pharmafen LLC,5/23/2023,8/1/2023
1295,N/A,Sea Grapes Extract,"TCI Co., Ltd",5/23/2023,7/27/2023
1296,N/A,PeLiv,Microphyt,5/24/2023,7/28/2023
1297,N/A,Dicholine L-5-Methyltetrahydrofolate,Aprofol AG,5/26/2023,8/2/2023
1298,N/A,DHA r-TG algal oil (thetmega3 750 r-TG),"Algarithm Ingredients, Inc.",6/9/2023,8/16/2023
1300,N/A,Odd-Chain Fatty Acid (OCFA) algal oil,"Heliae Development, LLC",6/29/2023,8/31/2023
1301,N/A,S-Adenosyl-L-Methionine Disulfate Tosylate with Propyl Gallate (SAMe-DT with PG),"JDS Therapeutics, Bonafide Health",7/3/2023,9/7/2023
1302,N/A,BLMO,"Ben's Lab Co., Ltd.",7/21/2023,7/31/2023
1303,N/A,Inulinase Enzyme Preparation,"BIO-CAT, Inc.",8/1/2023,9/28/2023
1304,N/A,Cinnovel™ Cinnamon Extract,Cinnovel Inc.,8/21/2023,10/20/2023
1305,N/A,life'sOmega O3020 (DHA and EPA Algal Oil from schizochytrium sp.),DSM,8/29/2023,11/7/2023
1306,N/A,Microencapsulated Iron Saccharate,Pharmafen LLC,9/15/2023,11/21/2023
1307,N/A,Caesalpinia spinosa,Fundacion Laboratorio de Farmacologia Vegetal,9/25/2023,12/4/2023
1308,N/A,Chrysanthellum indicum dry hydroalcoholic extract,Valbiotis,9/25/2023,12/5/2023
1309,N/A,Sanzyme powder,Noveco Group,9/26/2023,12/6/2023
1310,N/A,SHOGUN Maitake Powder,"BioKey, Inc.",10/3/2023,12/13/2023
1311,N/A,Nicotinamide Mononucleotide Hydrate,Malaga Imports LLC,10/23/2023,1/5/2024
